"dis_id","Disease","Fiscal Year","Sex","Age Group","Population","Incidence","Prevalence","Mortality with Disease","Mortality without Disease"
1,Diabetes,2000,F,1-4,688070,180,380,10,200
1,Diabetes,2000,F,5-9,980530,350,1490,0,100
1,Diabetes,2000,F,10-14,1005910,460,2590,0,140
1,Diabetes,2000,F,15-19,1001500,440,3760,10,280
1,Diabetes,2000,F,20-24,1033990,840,5430,20,310
1,Diabetes,2000,F,25-29,1050690,1450,8290,30,290
1,Diabetes,2000,F,30-34,1155470,2240,12770,40,450
1,Diabetes,2000,F,35-39,1362730,3520,20490,60,820
1,Diabetes,2000,F,40-44,1362380,4740,29070,120,1220
1,Diabetes,2000,F,45-49,1217760,6300,39650,240,1680
1,Diabetes,2000,F,50-54,1077730,8330,54870,450,2470
1,Diabetes,2000,F,55-59,818670,8080,59470,650,2790
1,Diabetes,2000,F,60-64,664950,7840,65470,1020,3410
1,Diabetes,2000,F,65-69,603500,8570,75320,1680,4730
1,Diabetes,2000,F,70-74,562420,8270,81220,2780,6980
1,Diabetes,2000,F,75-79,493350,7380,75740,3970,10300
1,Diabetes,2000,F,80-84,343130,4900,51020,4190,12880
1,Diabetes,2000,F,85-89,213610,2950,29370,3940,14950
1,Diabetes,2000,F,90+,126610,1430,13490,2940,18320
1,Diabetes,2000,M,1-4,721710,230,510,0,240
1,Diabetes,2000,M,5-9,1029300,340,1620,0,160
1,Diabetes,2000,M,10-14,1055960,500,2740,10,160
1,Diabetes,2000,M,15-19,1056420,440,4010,10,580
1,Diabetes,2000,M,20-24,1064640,600,4960,10,840
1,Diabetes,2000,M,25-29,1060630,1030,6830,30,770
1,Diabetes,2000,M,30-34,1150990,2030,11490,50,930
1,Diabetes,2000,M,35-39,1370090,3680,20720,100,1460
1,Diabetes,2000,M,40-44,1364720,5920,33240,170,1990
1,Diabetes,2000,M,45-49,1214830,8380,50260,400,2630
1,Diabetes,2000,M,50-54,1079250,11390,73980,680,3670
1,Diabetes,2000,M,55-59,818830,11320,82480,1220,4270
1,Diabetes,2000,M,60-64,643990,10850,86040,1880,5360
1,Diabetes,2000,M,65-69,565710,10590,91170,2940,7500
1,Diabetes,2000,M,70-74,483840,9060,87420,4250,10350
1,Diabetes,2000,M,75-79,359860,6520,67250,5050,12470
1,Diabetes,2000,M,80-84,211310,3680,38030,4330,12410
1,Diabetes,2000,M,85-89,107340,1680,17340,2980,10220
1,Diabetes,2000,M,90+,45510,600,5620,1440,7780
1,Diabetes,2001,F,1-4,675070,170,390,0,180
1,Diabetes,2001,F,5-9,962010,310,1580,10,100
1,Diabetes,2001,F,10-14,1022180,440,2730,10,100
1,Diabetes,2001,F,15-19,1009240,490,3950,20,270
1,Diabetes,2001,F,20-24,1047730,870,5920,10,310
1,Diabetes,2001,F,25-29,1053080,1570,9000,20,330
1,Diabetes,2001,F,30-34,1149920,2470,14020,30,480
1,Diabetes,2001,F,35-39,1334070,3840,22460,80,850
1,Diabetes,2001,F,40-44,1383750,5230,32280,130,1240
1,Diabetes,2001,F,45-49,1256220,6810,43750,230,1820
1,Diabetes,2001,F,50-54,1092820,8420,58790,450,2330
1,Diabetes,2001,F,55-59,879500,8840,67850,730,2890
1,Diabetes,2001,F,60-64,688530,8270,71240,1050,3360
1,Diabetes,2001,F,65-69,603070,8500,79610,1800,4650
1,Diabetes,2001,F,70-74,567670,8240,86800,2850,7040
1,Diabetes,2001,F,75-79,495390,7270,81020,4180,10000
1,Diabetes,2001,F,80-84,362050,4960,57500,4570,13250
1,Diabetes,2001,F,85-89,219810,2900,32120,4160,15060
1,Diabetes,2001,F,90+,133020,1510,15390,3240,18670
1,Diabetes,2001,M,1-4,706890,190,470,0,230
1,Diabetes,2001,M,5-9,1011590,320,1730,0,130
1,Diabetes,2001,M,10-14,1073080,460,2920,10,160
1,Diabetes,2001,M,15-19,1064700,460,4240,10,570
1,Diabetes,2001,M,20-24,1079520,590,5340,20,910
1,Diabetes,2001,M,25-29,1062470,1100,7200,20,820
1,Diabetes,2001,M,30-34,1145880,2300,12470,50,940
1,Diabetes,2001,M,35-39,1341460,3990,22430,100,1430
1,Diabetes,2001,M,40-44,1388370,6510,36400,180,2070
1,Diabetes,2001,M,45-49,1253790,9190,55200,420,2750
1,Diabetes,2001,M,50-54,1093700,11890,79250,810,3510
1,Diabetes,2001,M,55-59,879040,12210,93500,1390,4410
1,Diabetes,2001,M,60-64,668480,11040,94410,1960,5420
1,Diabetes,2001,M,65-69,565550,10550,97770,3010,7110
1,Diabetes,2001,M,70-74,494600,9190,94850,4410,10100
1,Diabetes,2001,M,75-79,366860,6690,73390,5210,12220
